company_name,product_name,date_received,state,complaint_narrative,resolution,date_closed
WELLS FARGO & COMPANY,Checking or savings account,1/23/2023,ID,"I put a "" stop payment '' on a check for my Wells Fargo bank account on XX/XX/XXXXXXXX XXXX last year. The representative that I spoke to on the phone said that "" the check would not be cashed. '' On XX/XX/XXXX, the check was passed through and cashed by Wells Fargo bank.I had an overdraft of {$500.00} to my account, and when I called the bank 's claim line, they filed and denied my claim. The account overdraft amount caused me to pay it off and change banking institutions. I do not believe that they practice fair bank practices.",Closed with explanation,1/23/2023
GOLDMAN SACHS BANK USA,Checking or savings account,8/28/2024,CA,"Opened no penalty CD a few months ago with Marcus by Goldman Sachs. 
XX/XX/XXXX, asked to close the account and return the funds to the XXXX XXXX XXXX account from which the funds originated. I was told it would take 1-3 business days. 
XX/XX/XXXX, receive email that the account was closed. 
No funds were deposited into my XXXX  XXXX XXXX account. 
XX/XX/XXXX, I called Marcus by GS and they said everything was fine and the funds would be deposited into the XXXX XXXX XXXX account immediately. 
XX/XX/XXXX, Funds were not deposited into XXXX XXXX XXXX account. Called Marcus by GS and they said that the funds were rejected by XXXX XXXX XXXX and now back in the closed account. I called XXXX XXXX XXXX  and they said that no one had attempted to make a deposit on that account and the account was unrestricted. Called Marcus by GS and they said there would now need to be a 7 day hold. Supervisor later said that a 7 day hold was not necessary. Funds would be sent right away. They claimed that it was "" security issue '' with my husband. Husband gave the necessary information. 
XX/XX/XXXX, asked for my husband 's security information again. Still no funds in XXXX XXXX XXXX account. Called Marcus by GS and they said that it is in queue. I asked what that meant. They said that the account needs to be manually closed, and that we won't get the funds until sometime in XXXX. 
This is materially interfering with our ability to purchase a residence. 
Similar complaints are here : XXXX XXXX XXXX",Closed with explanation,8/28/2024
"CITIBANK, N.A.",Credit card,6/11/2024,TX,"On XX/XX/year>, which was yesterday, I paid on my Macys bill online on their website. It was paid online well before midnight Eastern time. I received a confirmation email stating the payment amount ( {$120.00} ), the scheduled posting date ( XX/XX/year> ), and my confirmation number ( I can provide it per your request ). On this same email with said information, it also says Payment requests received by midnight Eastern time will apply to your account the same day. If my payment was indeed late, the posting date would be different but it was not. The email says XX/XX/year>. Today I was charged an unjustifiable {$30.00} late fee on my account. I reached out to Macys immediately. I requested them to remove the late fee immediately because I paid my bill on time. Macys refused. This is frustrating to have babysit this account. I love shopping at Macys but this is definitely changing my relationship with them. I have been targeted while being a loyal paying customer and always pay my bill on time or even early. I should have to go through all of this, yet here I am again due to Macys. So disappointing and not right. Please remove the unjustified {$30.00} late fee immediately and provide more than just your apology. This takes a lot of time and effort to have to contact Macys, try to get this resolved with no resolve then have to come to CFPB to file a complaint for something Macys could have fixed the first time I contacted them or not have to fix at all if the charge was not charged when the bill was paid on time. Why treat me, a loyal paying customer, this way?",Closed with explanation,6/11/2024
WELLS FARGO & COMPANY,Mortgage,5/30/2024,KY,"As of today Wells Fargo still hasnt granted my loan modification after submitting all paperwork, check stubs, and bank statements. They came back and said I have no income! 

I filed a complaint in XX/XX/XXXX Complaint No. XXXX regarding Wells Fargo not allowing me to do a loan modification after they allowed me to do the loan forbearance/deferment during COVID. This is a follow up to that complaint. Original Complaint : My ex husband, XXXX and I obtained a mortgage loan with Wells Fargo in XX/XX/XXXX. The mortgage was in XXXXXXXX XXXX name alone however I was listed on the deed. In XXXX we did a loan modification due to a financial hardship and it the listed XXXX and I both as borrowers. In XX/XX/XXXX XXXX and I separated and he moved out of the home. I continued making the payments on time. XXXX XXXX, XXXX I log into my Wells Fargo account to make my mortgage payment and something about forbearance immediately popped up. There was no wording about having to do a loan modification if I opted into the program. The information read like they would put payments at the end of the loan. I decided to do it with this understanding. I thought could payoff some other debts during that forbearance period. XX/XX/XXXX the forbearance ended and I had to start making the payments again. Then Wells Fargo called us saying we had to do a loan modification for the forbearance time period even ifwe continued to make the payment after the forbearance. I would have never opted into that program if it had said anything about a loan modification. Then we were told we were not eligible for the loan modification because XXXX no longer lived in the home. We were served with Foreclosure paperwork on Saturday XX/XX/XXXX. They will not allow me to do a loan modification by myself because they say I am not a borrower however the XXXX modification clearly list XXXX and I both as borrowers and we both signed as well and it is filed with the circuit clerks office as such on XX/XX/XXXX. The foreclosure paperwork includes interest, late fees and attorney fees as if Inever did the forbearance ( cares act stated they are not allowed to charge these fees during that time of forbearance ) Please advise. Thank you! XXXX XXXX XXXX. After this complaint they said we had to submit paperwork about filing our Quit Claim deed and I would be listed as a successor of the loan and then I could do the loan modification in two steps. The first step ( 1st modification ) being me listed as the successor of the loan then doing the financial loan modification. XXXX and I submitted all required paperwork and now they are denying the loan modification saying I have no income! Please help!",Closed with explanation,5/30/2024
JPMORGAN CHASE & CO.,Checking or savings account,6/8/2024,CA,"JPMorgan Chase Bank , N.A . acquired my previous bank First Republic Bank. The transition date for commercial checking accounts was XX/XX/XXXX. Since that day I have been unable to access the commercial checking account for my business or check on the status of the account. 

In attempting to resolve this, I have spoken to 11 employees of the bank in the client services group, the local branch, the commercial banking group, and the tech support group and spent roughly XXXX hours on the phone. So far there has been no progress in getting access to this account, and the current state is that they have no one for me to call that can resolve this problem. I am informed by XXXX of commercial banking and XXXX XXXX in the local XXXX XXXX branch that the request for access is escalated, but no indication of who to or what the timeline for a response is, now 11 days after I lost access to the account and the money in it.",Closed with explanation,6/8/2024
Experian Information Solutions Inc.,Credit card,5/4/2024,MI,"Having this late payment on my account is unacceptable, considering my track record of timely payments. Please remove it and update my account accordingly.",Closed with non-monetary relief,5/4/2024
SYNCHRONY FINANCIAL,Credit card,4/29/2024,NY,"I discovered in XX/XX/XXXX a new PayPal Credit card account ( Synchrony Bank ) on my credit report, and it affected my XXXX XXXX and the loan rate I could get for a new car. Since then, I have been disputing that this account belongs me. It apparently was opened in XXXX and there were some cash advances, purchases and payments. The debt they are wrongly attributing to me is now about {$15000.00}. I did not open the account, nor did I benefit from it, nor did I make any payments. I only became aware of it in late XXXX. I filed a police report in XX/XX/XXXX and submitted it to Synchrony Bank ( at their suggestion ). I have called many times in the last XXXX  years and have filed multiple fraud reports with Synchrony Bank investigations department. I provided lengthy and detailed explanations of my situation -- since early XXXX and as recently as XX/XX/XXXX. I have requested a copy of the original credit application per my rights under the FCRA ( verbally on multiple phone calls, and in writing via fax in XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX ), and I have not received it from Synchrony Bank. When I call to follow-up, Synchrony Bank company representatives verified that they received my faxes and then opened up new fraud investigation reports. Without calling me or requesting more information, Synchrony sends me a letter stating they closed the investigation ( not in my favor ) and continue to send me bills. I believe there is a bank error or some kind of identity theft happening. Synchrony Bank is failing to comply with the XXXX XXXX XXXX XXXX by not sending me what they say is the credit application I submitted in XXXX. I am XXXX old and am exhausted and frustrated dealing with this! I am going to get help from an XXXX service in my city.",Closed with non-monetary relief,4/29/2024
JPMORGAN CHASE & CO.,Credit card,5/12/2024,CO,"I have a Chase Slate credit card. I've had it for about 20 years. It is a line of credit that was at XXXX since XXXX. My husband began using it without my knowledge in XXXX. He used it for entertainment, car repairs, hotels, utility bills, etc. He changed the password to his own, had the invoices going to his own email that I didn't know about. He paid the Slate Chase card through his mobile phone monthly, through our joint checking account. I never checked our joint checking account as he was reponsible to pay our bills through our joint checking account with my paycheck that was directly deposited and his XXXX check that was deposited into our joint checking. He charged the Slate Chase card up to {$32000.00}. I found out about these charges the day after his death. He died on XX/XX/XXXX. I went to Chase the day after he died so I could take over paying our bills and this account popped up that I haven't used since XXXX. I reported it as fraud. Chase said I'm responsible for it as he's my spouse and I benefitted from the charges. I no longer have his income as I am a XXXX year old widower.",Closed with explanation,5/12/2024
WELLS FARGO & COMPANY,Checking or savings account,11/12/2022,AZ,"I believe Wellsfargo is in collusion with other major banking companies to not provide any interest on savings or checking. I have been contacting them since XX/XX/2021 when the XXXX started raising rates. The only response is commiserating were sorry responses. I am currently receiving only XXXX percent, XXXX basis point. They have raised the interest rate on credit card and loans all along this year. Thanks",Closed with explanation,11/12/2022
PNC Bank N.A.,Checking or savings account,8/28/2022,AL,"I have bought 6 chairs from XXXX XXXXXXXX XXXX on XX/XX/2022 and I paid with my PNC bank debit card from my checking account. When I got home and looked at the chairs one of the chairs was defective from manufacturer and damaged and had a broken leg and severe scratches on one side. It is dangerous for a person to sit on it so its useless and NOT fit to be used. I called the company and they refused to refund me my money and they refused to replace it. The company XXXX XXXX XXXX scammed me and committed fraud by selling me a chair that is defective and dangerous for my family to sit on it and they did not tell me that this chair has a major defect in it so I disputed the charge for that defective chair which is around XXXX dollars but PNC bank denied my claim and dispute. And they charged my checking account back for the disputed charge and that is very wrong from PNC bank. I was scammed by a furniture company and they charged me for a defective chair and damaged and scratched. The defect in the chair is from the manufacturer and is very severe and the company NEVER disclosed that defect to me and should NEVER have sold the chair to anybody because it is dangerous to sit on. 
PNC bank needs to honor my dispute for XXXX dollars and give me that money back into my checking account. This is a legit dispute of a charge from a scammer and a fraud company. They scammed me by selling me a defective and dangerous chair without disclosing that defect PNC bank reference number for this dispute is XXXX Account ending inXXXX PNC bank has the worst customer service quality and they never help us customers and PNC bank should protect us customers from fraud and scammers like this company XXXXXXXX XXXX  that sold us a defective and dangerous chair The disputed charge should be honored by PNC bank and they should refund me that money for XXXX dollars",Closed with monetary relief,8/28/2022
U.S. BANCORP,Checking or savings account,9/20/2023,WI,"As stated earlier I went to US Bank to see why my social security check had not been received.The teller checked and told me she did not see a direct deposit today from social security. I left the bank and went to the local social security office. The person who assisted me ran a print out that verified with a trace # XXXX that showed that the bank and received the check and it had been processed. I went back to the bank and asked to speak with a banker and someone came out to assist me After speaking with a banker I was told that a hard hold was put on my account because I filed a XXXX  XXXX. I have a debit card with US Bank located at XXXX XXXX XXXX XXXX, XXXX, Wisconsin, not a credit card. I am trying to find out why would it be necessary to put a hard hold on my account. I am the owner of that checking account. This too can be verified. XXXX XXXX XXXX",Closed with explanation,9/21/2023
"CITIBANK, N.A.",Credit card,7/30/2024,FL,"Today, XX/XX/year> I received a letter in the mail stating that the APR on my card would be increasing to 34.24 %. I have had this card for around 30 years and my credit rating is around XXXX. I have almost never made late payments, none is the past 5 years. I called to request a lower rate and I was told that everyone paid the same rate and it was not negotiable at this time. I feel this rate is grossly unfair and has no basis for an increase.",Closed with explanation,8/1/2024
PNC Bank N.A.,Credit card,9/5/2024,OH,"After finding out our local grocery store XXXX XXXX in XXXX XXXX found card XXXX in each of their stores, Dates of theft began in XXXX thru till we had the cards replaced in XXXX, after looking into our accounts both joint and my wife 's and found charges we never made, there was even a big one at a restaurant we never knew existed, I even met with the manager there and he searched to their data base and did not find my wife 's card using the last XXXX digits anywhere dating from XX/XX/XXXX thru XX/XX/XXXX, nowhere in ether of their locations in XXXX Ohio, XXXX Ohio or XXXX MI. that charge was for {$51.00} and still twice PNC denied the disputes claiming Historical pattern of use, the restaurant XXXX XXXX has been open less than a year per the manager, We never heard of it. I even supplied the managers name and number, and the XXXX XXXX XXXX detectives name and number they refused to call them and told me to do my own investigation, I havw tried calling Apples corporate office and I get a accountant that tells me he does not have the corporate number or the names of the corporate officers. PNC claims the cards with Chips. and a skimmer can get the cards info with software called SHIMMING, According to XXXX and the FTC. I have been with this back since XXXX when it was National City now after 50 years WE are beinbg treated as thieves. I the money returned, PNC has refused to do a complete investigation, by telling me to do my own.",Closed with explanation,9/5/2024
JPMORGAN CHASE & CO.,Checking or savings account,5/20/2024,NY,"On XX/XX/2024, I deposited a check for {$30000.00} from my client, XXXX XXXX, drawn on her XXXX XXXX XXXXXXXX account ( # XXXX ), into my business account at Chase ( Account # ( XXXX ). Despite receiving confirmation that the funds were debited from the client 's account, Chase placed a XXXX hold on these funds. The hold has caused significant inconvenience, including the failure of scheduled automatic payments and overdraft fees. 
I have repeatedly communicated with Chase, providing all necessary documentation, including proof that the funds have been cleared by XXXX XXXX XXXXXXXX. Despite these efforts, Chase has refused to release the funds or provide a reasonable explanation for the hold. 
Here are the key points of my complaint : The funds were debited from the client 's XXXX XXXX XXXX account on XX/XX/2024, as confirmed by documentation provided by the client. 
Chase placed an unwarranted XXXX hold on these funds, which is excessive and unjustified given the circumstances. 

The delay has caused significant disruption to my business operations, including missed payments and potential damage to my business reputation. 
I have provided Chase with all necessary documentation, yet they have not taken any corrective action. 
Enclosed with this letter are copies of all relevant documents, including : The deposited check and its details. 
Proof of funds being debited from the client 's account. 
Correspondence with Chase, including my letters and their responses.",Closed with explanation,5/20/2024
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,7/19/2024,GA,They said they contacted me multiple times about a fraudulent check being deposited. I never got a call or an alert on my account then my account gets closed and they are holding my funds for almost two months with no mail or information on what is left in my account. Ive been with them Since 2013 so why would I attempt fraud nevertheless Ive had this same account for years. Ive been having to change my card frequently because of fraudulent charges and access to my account,In progress,7/19/2024
AMERICAN EXPRESS COMPANY,Credit card,5/28/2024,NH,"Hi Amex, I am writing to express my frustration and disappointment with the handling of my sign-up bonus points for my Amex XXXX card. Despite numerous communications with your customer service representatives and supervisors, my issue remains unresolved, and I feel that I have been repeatedly misled. 

On XX/XX/2024, I spoke to a supervisor named XXXX regarding the status of my sign-up bonus. Prior to this, I had communicated with other customer service representatives on XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, and XX/XX/2024, all of whom confirmed that I had a sign-up bonus offer on my Gold card. They assured me that I would receive the points once I hit the minimum spend of {$6000.00}. 

After meeting the required spend, I did not receive my points. Subsequently, I was told by another representative that I did not have an offer. This is particularly frustrating because I clearly remember signing up for the XXXX card due to the banner advertising the sign-up bonus. 

When I spoke to Supervisor XXXX on XX/XX/XXXX, he assured me that he would follow up with the agent and that I would receive my points once I met the {$6000.00} spend. Despite meeting the spend requirement, my points were never added. 

I reached out again on XX/XX/XXXX and XX/XX/XXXX to follow up, speaking to XXXX XXXX on the latter date. XXXX assured me that the points would be added manually when my statement closed on XX/XX/XXXX. This, however, did not happen. 

Each time I reach out to customer service, the regular agents can not see the supervisor notes and provide conflicting information. I have had to repeatedly request to speak to a supervisor and explain my situation from the beginning every time. This lack of communication and consistency has caused significant inconvenience and frustration. 

I am deeply disappointed by the way my case has been handled. I feel that my concerns have not been taken seriously, and I have not been provided with a timely resolution. I demand an urgent review and immediate crediting of my sign-up bonus points for the Amex XXXX XXXX. The inconvenience I have faced due to this issue is unacceptable, and I expect swift action to resolve this matter. 

Thank you for your prompt attention to this complaint. I look forward to your immediate response.",Closed with non-monetary relief,5/28/2024
SYNCHRONY FINANCIAL,Credit card,4/16/2024,VA,"Ref : Filing Fraud Complain against Synchrony Bank Dear Sir/Madam , Despite my repeated request, Synchrony Bank XXXX XXXX Synchrony Bank has refused to settle my fraud complain for over XXXX year. Below is the brief description of the issues : XXXX. Synchrony Bank, along with its vendor XXXX XXXX, financed and installed a HVAC system in my home. 
XXXX. XXXX financed this for XXXX years with a monthly payment of {$300.00} which would have paid off the total loan amount of {$7200.00} in XXXX years XXXX. I was told on the phone that this loan was interest free XXXX. I was paying {$300.00} per month which would have paid off my loan in XXXX years. 
XXXX. My investigation revealed that the Synchrony Bank staff unilaterally reduced my monthly payments to {$170.00} per month after the first year. 
XXXX. Subsequently, they sent me the new bill with interest payment claiming that I didnt pay off {$7200.00} in XXXX years. Therefore, I must pay the interest. They said that was the agreement. I never agreed to any thing like that, nor I signed on any written agreement 7. I have repeated asked Synchrony Bank to provide me the written agreement. They said they cant find any written agreement. This is because they never intended to provide one. I never signed off on the interest terms claimed by them 8. I have asked Synchrony Bank to settle this issue amicably. They have never responded to my request in writing.

9. Please review the attached documents sent to Synchrony Bank by me at three different dates. 
I request that your office kindly investigate this issue. I believe Synchrony Bank has engaged in the fraudulent practices with my account. I wouldnt be surprised if they are doing the same to other consumers.",Closed with explanation,4/16/2024
"CITIBANK, N.A.",Credit card,12/6/2024,PA,A BestBuy ( citi ) credit card was opened in my name on or approximately XX/XX/year>. During this time 2 purchases were made for a total of {$2200.00}. At this same time a XXXXXXXX XXXX XXXX was opened in my name for approximately {$800.00}. I immediately reported both cards as fraudulent reporting they were not opened by me. XXXX found that it was fraud quickly and removed it from my credit report. BestBuy ( Citi ) has twice now denied my fraud claims. I've provided my information and license both in XXXX as well as end of XXXX on a second claim. This card had to have been open without my license because I did not lose my license. The investigation has continued to find that it was not fraudulent despite it clearly not being me who opened the cards. I advised that XXXX found it was fraudulent but that did not make a difference. I also advised at the same time I recently renewed my lease which could've lead to my information being available to any parties there. My credit score is now suffering because BestBuy / Citi and they will not properly investigate the claim.,Closed with monetary relief,12/6/2024
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,4/16/2024,CA,"On XX/XX/XXXX at XXXX i was making a deposit and the atm ate my checks. I called Bank of Americas 3rd party atm service and submitted a claim. When I called they said they submitted a claim and I was initially told I would get a credit within 2 days. At that time I expressed to the agent that this money was for payroll. When I checked my account on Friday, no credit was posted. I proceeded to call back on Monday and another Bank of America agent would be expediting another request which would take another 2 to 10 business days. I called on Tuesday XX/XX/XXXX. I was told by Bank of America that the agent didnt fully submit my claim either time and that I still have to wait 2 to 10 business days to receive a temporary credit. These Funds are to cover my ( Employee ) payroll. My employees are asking for their money and I unfortunately can not give them a response as Bank of America can not temporary credit me the amount that I deposit. They are asking for me to wait but I did everything on my part to make sure the claim was submitted in a timely mannner. I believe this is unfair for my team and myself when this error was through Bank of America agents and withholding my funds as they doing their investigation is unfair to my employees and myself. No form compensation has been offered and the only solution I was offer was an expedited 24 review on my claim after I said I would file a compliant and potentially speak with an attorney",Closed with monetary relief,4/16/2024
AMERICAN EXPRESS COMPANY,Credit card,5/15/2024,CA,"I received my first billing statement for my newly opened American Express credit card account in XXXX, connected a bank account, and set up a payment schedule to pay my statement balance on the due date each month. When I connected my bank account for the first time, I accidentally mistyped a digit in the account number. American Express performed no validation that the account number is correct, exists, or that I own this bank account. 

On XX/XX/XXXX, XXXX  days after my due date and scheduled payment, I received a notification that my payment was returned. On XX/XX/XXXX, I connected my bank account with the corrected information and made a payment for the entire outstanding balance on my account. 

On my billing statement ending XX/XX/XXXX, I was charged {$27.00} in interest charges. I requested this interest charge be removed from my account. I fully intended to pay my statement balance in full on my due date when I set up my payment schedule. I made a payment in full the day I received a notification that the payment was returned. This situation would not have occurred if American Express, the payment Originator, performed any validation on the account number prior to its first use, per XXXX rules. 

I called American Express on XX/XX/XXXX to dispute this interest charge and received no resolution or response to my complaint and billing dispute. I called American Express on XX/XX/XXXX and still have no resolution or response to my complaint and billing dispute. I sent a letter to American Express to file my complaint in writing on XX/XX/XXXX have received no response. 

On my billing statement ending XX/XX/XXXX, I was charged another {$64.00} in interest charges. I requested this interest charge removed from my account. I paid my billing statement in full on XX/XX/XXXX, the payment due date. I contacted American Express on XX/XX/XXXX in writing via chat to dispute this additional interest charge. I have received on resolution or response to my complaint and billing dispute. 

American Express has charged me nearly {$100.00} in interest charges for making a payment XXXX days late because I mistyped my bank account number and has not responded to my complaints or waived the interest charges.",Closed with explanation,5/15/2024
Chime Financial Inc,Checking or savings account,3/20/2024,IL,"I got a call from chime bank stating there was a fraud alert on my account XX/XX/2024. The agent told me I needed to accept conditions on the chime app to stop the fraud happening on my account providing me all my information from my name, email, address and account balance. Once I went to the app to accept the terms to stop the transaction before it happened and all of my money was taken from my account to transferred to another and the agent hung up on me. I called back and the agent informed me I was scammed and that I would INDEED get my money back and a few hours later they denied my claim and closed my dispute before I received the police report. This was not stopping the fraud activity but what the agent had me do was con me providing a fake agent number and name confirmed by the first chime agent who opened my dispute and insured me I would get my money back because they had been having a lot of chime customers getting scammed but they would get money back.",Closed with explanation,3/20/2024
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",Credit card,4/24/2024,PA,"I've always ensured that payments on this account are made promptly, avoiding any overdue situations. I'm unclear about the reasons for reports of late payment remarks on my accounts. Per 15 USC 1666b, billing errors should be fixed.",Closed with non-monetary relief,4/24/2024
WELLS FARGO & COMPANY,Checking or savings account,5/29/2025,FL,"CFPB case This is an amplification of complaint # XXXX Wells Fargo Bank has not properly responded to the 8 issues presented to their CEO, XXXX XXXX XXXX on XX/XX/XXXX, AND the attached rebuttals to their XX/XX/XXXX communication, All of which further amplifies the complaint. 

days with no answer. 
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Closed with explanation,6/11/2025
"BANK OF AMERICA, NATIONAL ASSOCIATION",Checking or savings account,5/15/2024,NJ,"Im deposit XXXX, and the company lie, sayin XXXX, i need the video recording, for the atm to show you, i have XXXX bills of XXXX and no only 2 wath the bank say, my money is Stolen from the bank",Closed with explanation,5/15/2024
"EQUIFAX, INC.",Credit card,4/18/2024,OH,"Ensuring timely payments is a habit of mine. I am absolutely certain about this. What I find puzzling is why this company is labeling me late in certain months, which is unacceptable. USC 1666b states that any billing errors need to be fixed ; otherwise, they'll owe me {$1000.00} for each inaccurately reported account.",Closed with explanation,4/18/2024
NAVY FEDERAL CREDIT UNION,Mortgage,10/31/2022,FL,"After receiving roof damage during Hurricane Ivan, I submitted an online application with Navy Federal Credit Union ( NFCU ) for a Home Equity Line of Credit ( HELOC ). My intention was to repair the roof using the funds from the HELOC while I await my insurance settlement. 

I received an email requesting a telephone interview from XXXX XXXX, Equity Processing XXXX | XXXX XXXX XXXX, XXXX XXXX XXXX | XXXX, VA | XXXX Telephone : XXXX | Fax : XXXX Email : XXXX, On Friday, XX/XX/2022, during our very first conversation, XXXX XXXX outlined that there would be approx. {$2000.00} in closing costs and that the roof would probably have to be replaced BEFORE they could approve the loan. I immediately responded by instructing her to withdraw my application. She replied "" okay ''. She agreed to withdraw my application. She then called me back a few minutes later and stated that "" by law, they must record my loan as declined ''. That is absolutely untrue. My loan was not declined, nor had they even offered me the loan or completed the interview. It was in fact withdrawn. She then stated that it would not be reported to credit agencies, but would be marked as declined only in the NFCU internal records. I advised that his too is unacceptable. 

So, I am requesting your assistance in having this matter resolved. I have a long-standing and blemish-free relationship with Navy Federal. I have referred dozens of borrowers due to the professionalism I experienced with NFCU, until now. I will not allow my record with NFCU to be tarnished because I withdrew a loan application. 

I'm not trying to be unreasonable but, I take my credit extremely seriously and they are threatening to disrupt my years of hard work by fraudulently recording my application as declined. They DIDN'T decline my loan, I WITHDREW my application. 

I am a XXXX, XXXX XXXX veteran and I rely on my credit in the event of emergencies. What NFCU is doing is not only deceptive and destructive, but I believe it is fraudulent and illegal. 

Please help, XXXX XXXX",Closed with explanation,10/31/2022
"CITIBANK, N.A.",Credit card,5/31/2024,CA,"XXXX XXXX XXXX XXXX XXXX XXXX, California XXXXXXXX THE HOME DEPOT/CITIBANK XXXX XXXX XXXX XXXX XXXX XXXX SD XXXX XX/XX/2024 Re : Account number : XXXX I was advised to write to you by your customer service department concerning my credit rating with your company. I have enjoyed a credit account with your company name for many years. 
During the course of our business association, I have honored and respected my account agreement to the fullest. I appreciate how wonderful your service has always been. 
Unfortunately, 2 years ago, I was in a financial dilemma due to job loss and multiple health issues. As a result some of my payments to you were delayed. Because your account with me is extremely important I managed to borrow the money to cover the late payments. I paid those payments 30 days late on three occasions over a nine-month period but I made sure to fulfill my obligation to ensure that your company suffered no loss. 
I am thankful and appreciative for the years of positive credit history that I have obtained through your company but now those XXXX late marks on my credit reports are causing me tremendous stress. I am trying to move up to a better paid position at my work, but the negative remarks are hurting my efforts. 
This is where my "" Goodwill Request '' comes in. I desperately need this promotion and I would be extremely appreciative if you would please complete a UDF - Universal Data Form and fax it to the credit bureaus to remove those entries.

The credit bureaus have advised me that they will report anything as instructed to by you, but they need to have that instruction in writing. I beg that you may help me and take into consideration how good of a customer I have been and how long I have had an account with you. 
Thank you for your consideration, and I hope youll approve my request. 

Best, XXXX XXXX",Closed with non-monetary relief,6/5/2024
TD BANK US HOLDING COMPANY,Credit card,7/25/2024,TX,"I have tried more than once to amicably resolve this issue with TD, but they refuse to comply. I now intend to exercise my dispute resolution agreement and arbitrate with them if this can not be resolved.",Closed with non-monetary relief,7/25/2024
SYNCHRONY FINANCIAL,Credit card,4/12/2024,FL,"On XX/XX/XXXX XXXX I visited XXXX XXXX XXXX to purchase mattress when I received my first bill I noticed the amount I owed didnt match with what I purchased when I called synchrony bank I noticed that XXXX XXXX made several charges I didnt authorize i returned the merchandise to XXXX XXXX and notified the bank of the issue in which I had to file a dispute XXXX XXXX refunded me the full amount but synchrony bank keeps billing me for something I dont have .i have been trying to get the resolved for months now, now they are trying to mess up my credit with late charges I do not owe I owe them nothing. Please help I dont know what to do",Closed with explanation,4/12/2024
JPMORGAN CHASE & CO.,Checking or savings account,9/11/2023,LA,"I had 3 accounts open with chase bank, 2 savings and 1 checking account. I had no idea my account was restricted/closed until I tried to use my debit card to purchase my XXXX When I called, I was told that all 3 of my accounts had been closed permanently and I could go into a branch to withdraw my funds. I went to the bank in person and they told me I couldnt actually do that I have to wait until the account is completely closed before I can do that. So now the money in my accounts are completely frozen, I cant access my own paycheck to pay bills or purchase the medication I need as a XXXX When I asked for a reason why my accounts had been closed and restricted, they wouldnt tell me why just that they would be closed permanently when Ive never had any problems with this bank Ive had this accounts for almost 3 years. So not only is it totally cruel to not even tell someone their account is closing ( I didnt receive a formal notice until a week later via mail ) and I had to find out while swiping my card but it is completely unacceptable to not even give a reason why. My money is frozen there while I wait for them to send me a check that has not been sent and no one can tell me for sure why it was closed or when I will receive access to my phone so I cant get my medication. Its so terribly cruel and unfair I cant believe I ever banked with them",Closed with non-monetary relief,9/11/2023
"BANK OF AMERICA, NATIONAL ASSOCIATION",Credit card,5/10/2024,FL,My identity was stolen and they made multiple fraudulent charges on my credit cards. I informed the bank and gave them my identity theft report and all the information I had. They did not refund all the tractions and have denied some of my claims. They are stating that the charges are not Fraud after I already gave them everything proving otherwise. I requested copies of the documents they used to make this decision and they never sent me anything. Its been about 3 months since the Fraud happened and they still have not all dropped the charges or refunded my money.,Closed with monetary relief,5/10/2024
CAPITAL ONE FINANCIAL CORPORATION,Checking or savings account,4/19/2024,CA,"I have a savings account with capital one. I received a letter from capital one stating that because of a court case involving me in the state of Utah they had been instructed to garnish my account over {$1200.00}. After contacting the courthouse in Utah it took me 30 seconds to discover the problem Capital one Negligently removed the money from my account rather than from someone else with the same name. The courthouse was able to verify for me that the Social Security numbers did not match, the birthdates did not match, nor did the state of residency. I have reached out to capital one and tried to fix this issue, but they still have not yet returned my money to me.",Closed with non-monetary relief,4/19/2024
